aa-lsm-hook                                   - AppArmor system integration
efivar                                        - Tools and libraries to manipulate EFI variables
element                                       - A glossy Matrix collaboration client for desktop.
embree                                        - High Performance Ray Tracing Kernels
enchant                                       - Spell check library wrapper program
enchant16                                     - enchant16 is the 1.6 series of the spell check library wrapper program
eog                                           - The Eye of GNOME image viewer is the official image viewer for the GNOME Desktop environment. With it, you can view single image files, as well as large image collections.
eopkg                                         - The Solus package manager (python3 eopkg.bin nuitka-compiled version)
espeak-ng                                     - Text-to-speech engine
evince                                        - Document viewer for popular document formats
evolution-data-server                         - Centralized access to appointments and contacts
exfatprogs                                    - exFAT filesystem userspace utilities
exiv2                                         - exif and iptc metadata manipulation library and tools
exo                                           - Application library for the Xfce desktop environment.
expat                                         - XML Parsing Library
expat-devel                                   - Development files for expat
f2fs-tools                                    - Userland tools for the f2fs filesystem
faad                                          - Open source MPEG-2 and MPEG-4 AAC decoder
fan2go                                        - Simple daemon providing dynamic fan speed control based on temperature sensors
fastfetch                                     - Like neofetch, but much faster because written in C
fd                                            - A simple, fast and user-friendly alternative to find
fdk-aac                                       - Fraunhofer FDK AAC codec library
ffmpeg                                        - A complete, cross-platform solution to record, convert and stream audio and video
ffmpeg-4.4                                    - A complete, cross-platform solution to record, convert and stream audio and video
ffmpegthumbnailer                             - Lightweight video thumbnailer that can be used by file managers
fftw                                          - FFTW Fourier transform library
file                                          - file (file type guesser)
file-roller                                   - Archive manager for the GNOME desktop environment
findutils                                     - findutils (basic directory searching utilities)
firefox                                       - Firefox web browser
fish                                          - A full-blown user-friendly command line shell
flameshot                                     - Powerful yet simple to use screenshot software
flatpak                                       - Universal application support
fluidsynth                                    - Software synthesizer based on the SoundFont 2 specifications
fmt                                           - Small, safe and fast formatting C++ library
font-adobe-100dpi                             - X.Org fonts: font-adobe-100dpi
font-awesome-ttf                              - Font Awesome Free
font-droid-ttf                                - Droid fonts. Includes Fallback and Japanese support.
font-fira-ttf                                 - Mozilla's new typeface, used in Firefox OS
font-firacode-ttf                             - Monospaced font with programming ligatures
font-hack-ttf                                 - A typeface designed for source code
font-manager                                  - A simple font management application
font-terminus-console                         - Monospaced font designed for long (8+ hours per day) work with computers.
font-tlwg-ttf                                 - Fonts-TLWG is a collection of Thai scalable fonts available under free licenses.
fontconfig                                    - Font configuration utilities
fontconfig-devel                              - Development files for fontconfig
foomatic-db                                   - The collected knowledge about printers, drivers, and driver options in XML files
foomatic-db-engine                            - Foomatic database engine
frameworkintegration                          - Integration of Qt application with KDE workspaces
freeglut                                      - OpenSource GLUT library
freeimage                                     - Library to support graphics image formats.
freerdp                                       - FreeRDP is a free remote desktop protocol client
freetype2                                     - Font rendering library
freetype2-devel                               - Development files for freetype2
frei0r                                        - A large collection of free and portable video plugins
fribidi                                       - Implementation of the Unicode Bidirectional Algorithm
fribidi-devel                                 - Development files for fribidi
fuse                                          - File Systems in User Space
fuse-common                                   - File Systems in User Space
fuse2                                         - File Systems in User Space
g++                                           - GNU Compiler Collection
gavl                                          - A library for handling uncompressed audio and video data.
gawk                                          - gawk - GNU Awk (Data extraction and reporting tool)
gcab                                          - A GObject library to create cabinet files
gcc                                           - GNU Compiler Collection
gconf                                         - GNOME Configuration Database
gcr                                           - The Gcr package contains libraries used for displaying certificates and accessing key stores. It also provides the viewer for crypto files on the GNOME Desktop.
gcr-4                                         - The Gcr package contains libraries used for displaying certificates and accessing key stores. It also provides the viewer for crypto files on the GNOME Desktop.
gd                                            - GD Graphics Library
gdbm                                          - Standard GNU database libraries
gdk-pixbuf                                    - GNOME toolkit for image loading and pixel buffer manipulation
gdk-pixbuf-devel                              - Development files for gdk-pixbuf
gdm                                           - GNOME Graphical Display Manager
